,Rank,Released,Movie,Total Box Office,url
68,124,2015,Furious 7,"$381,482,079",https://www.the-numbers.com/movie/Furious-7#tab=summary
69,126,2014,American Sniper,"$378,445,725",https://www.the-numbers.com/movie/American-Sniper#tab=summary
70,127,2002,My Big Fat Greek Wedding,"$377,797,221",https://www.the-numbers.com/movie/My-Big-Fat-Greek-Wedding#tab=summary
71,128,2014,The Hunger Games: Mockingjay - Part 1,"$375,464,195",https://www.the-numbers.com/movie/Hunger-Games-Mockingjay-Part-1-The#tab=summary
72,130,2014,Guardians of the Galaxy,"$371,501,227",https://www.the-numbers.com/movie/Guardians-of-the-Galaxy#tab=summary
73,133,2009,Harry Potter and the Half-Blood Prince,"$366,779,769",https://www.the-numbers.com/movie/Harry-Potter-and-the-Half-Blood-Prince#tab=summary
74,134,2003,Bruce Almighty,"$366,673,710",https://www.the-numbers.com/movie/Bruce-Almighty#tab=summary
75,135,2004,Harry Potter and the Prisoner of Azkaban,"$366,070,829",https://www.the-numbers.com/movie/Harry-Potter-and-the-Prisoner-of-Azkaban#tab=summary
76,137,2001,Rush Hour 2,"$364,020,605",https://www.the-numbers.com/movie/Rush-Hour-2#tab=summary
77,138,2015,Minions,"$363,152,668",https://www.the-numbers.com/movie/Minions#tab=summary
78,142,2010,Iron Man 2,"$360,743,683",https://www.the-numbers.com/movie/Iron-Man-2#tab=summary
79,144,2009,The Twilight Saga: New Moon,"$359,778,351",https://www.the-numbers.com/movie/Twilight-Saga-New-Moon-The#tab=summary
80,145,2016,Zootopia,"$359,416,611",https://www.the-numbers.com/movie/Zootopia-(2016)#tab=summary
81,149,2002,Signs,"$357,440,160",https://www.the-numbers.com/movie/Signs#tab=summary
82,150,2009,Up,"$355,902,392",https://www.the-numbers.com/movie/Up#tab=summary
83,151,2019,Aladdin,"$355,559,219",https://www.the-numbers.com/movie/Aladdin-(2019)#tab=summary
84,154,2012,Skyfall,"$348,151,094",https://www.the-numbers.com/movie/Skyfall#tab=summary
85,155,2016,Batman v Superman: Dawn of Justice,"$347,928,482",https://www.the-numbers.com/movie/Batman-v-Superman-Dawn-of-Justice#tab=summary
86,156,2010,The Twilight Saga: Eclipse,"$347,001,804",https://www.the-numbers.com/movie/Twilight-Saga-Eclipse-The#tab=summary
87,157,2012,The Hobbit: An Unexpected Journey,"$345,841,855",https://www.the-numbers.com/movie/Hobbit-An-Unexpected-Journey-The#tab=summary
